date,inv_1,inv_2,inv_3,Bissell_total_filled,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),solar_radiation,temperature_nasa,pool_price,month,day,dayofyear
2025-08-20,44.39249,41.39772,37.0347,122.82491,21.0,10.4,15.7,1.0,0.0,1.0,4.2886,14.47,16.022173913043478,8.0,20.0,232.0
2025-08-21,42.50207,39.09753,35.77678,117.37638000000001,18.7,5.9,12.3,0.2,0.0,0.2,4.6783,12.53,14.196956521739132,8.0,21.0,233.0
2025-08-22,50.78082,46.68729,42.92988,140.39799,21.2,6.2,13.7,0.0,0.0,0.0,5.5202,14.37,21.64565217391305,8.0,22.0,234.0
2025-08-23,56.00988,51.02283,45.75087,152.78358,24.9,4.8,14.9,0.0,0.0,0.0,5.5229,15.82,21.109565217391303,8.0,23.0,235.0
2025-08-24,56.03522,50.94575,46.17663,153.1576,26.5,6.8,16.7,0.0,0.0,0.0,6.1135,18.67,63.42173913043477,8.0,24.0,236.0
2025-08-25,52.9695,47.4838,43.77024,144.22354,28.7,6.3,17.5,0.0,0.0,0.0,5.6827,19.93,145.72826086956522,8.0,25.0,237.0
2025-08-26,49.55218,44.24896,39.82821,133.62935,30.4,8.3,19.4,0.0,0.0,0.0,5.6234,21.7,147.64217391304348,8.0,26.0,238.0
2025-08-27,51.34706,46.5629,42.64817,140.55813,32.7,8.2,20.5,0.0,0.0,0.0,5.6947,21.6,62.022608695652174,8.0,27.0,239.0
2025-08-28,50.30804,45.74005,42.3101,138.35819,30.9,8.0,19.5,0.0,0.0,0.0,5.6203,22.47,165.61434782608697,8.0,28.0,240.0
2025-08-29,48.12444,43.03053,39.43605,130.59102,31.8,8.9,20.4,0.0,0.0,0.0,5.3174,22.25,98.58695652173913,8.0,29.0,241.0
2025-08-30,46.90045,42.41012,38.35196,127.66253,30.8,8.5,19.7,0.0,0.0,0.0,4.7628,21.6,39.10434782608696,8.0,30.0,242.0
