date,Production,Mean Temp (°C),Total Rain (mm),Total Snow (cm),solar_radiation,temperature_nasa_x,pool_price,month,dayofyear,solar_clear_sky,wind_speed,temperature_nasa_y,solar_ratio,revenue
2025-01-01,0.1,-16.2,0.0,0.0,0.6494,-19.47,36.689565217391305,1,1,1.1006,2.03,-19.47,0.5900417953843358,3.6689565217391307
2025-01-02,0.2,-22.5,0.0,0.0,1.0109,-24.58,117.15304347826088,1,2,1.1508,2.47,-24.58,0.8784323948557524,23.43060869565218
2025-01-03,0.2,-23.2,0.0,0.0,0.9689,-23.22,36.93782608695653,1,3,1.1592,6.8,-23.22,0.8358350586611456,7.387565217391305
2025-01-04,0.1,-18.1,0.0,0.0,0.7394,-18.65,27.4108695652174,1,4,1.1098,5.01,-18.65,0.6662461704811677,2.74108695652174
2025-01-05,0.2,-16.0,0.0,0.2,0.7579,-18.98,48.33304347826088,1,5,1.0788,2.18,-18.98,0.7025398591027068,9.666608695652178
2025-01-06,0.1,-13.6,0.0,0.0,0.725,-14.05,77.4108695652174,1,6,1.1002,2.79,-14.05,0.6589710961643337,7.74108695652174
2025-01-07,0.2,-7.1,0.0,0.0,0.7402,-3.3,15.362608695652172,1,7,1.1189,5.63,-3.3,0.6615425864688533,3.0725217391304347
2025-01-08,6.3,1.6,0.0,0.0,1.055,-0.16,17.677391304347825,1,8,1.1626,7.63,-0.16,0.9074488216067433,111.3675652173913
2025-01-09,18.5,-3.3,0.0,0.0,1.159,-5.22,53.71478260869566,1,9,1.1842,4.18,-5.22,0.9787198108427632,993.7234782608697
2025-01-10,4.0,0.8,2.2,0.0,0.6922,1.06,11.231739130434782,1,10,1.121,7.83,1.06,0.6174843889384478,44.92695652173913
2025-01-11,0.8,-0.8,0.7,1.4,0.7718,-4.04,22.76,1,11,1.2067,4.1,-4.04,0.6395955912820087,18.208000000000002
2025-01-12,1.0,-1.8,0.5,0.3,0.6977,-6.3,53.66130434782609,1,12,1.1662,3.98,-6.3,0.5982678785800035,53.66130434782609
2025-01-13,0.5,-2.1,0.0,0.0,0.8592,-2.29,8.52913043478261,1,13,1.2204,6.5,-2.29,0.704031465093412,4.264565217391305
2025-01-14,1.4,-0.2,0.0,0.0,0.7867,-0.45,15.937391304347829,1,14,1.2283,6.98,-0.45,0.6404787104127656,22.31234782608696
2025-01-15,10.4,0.8,0.0,0.0,0.9814,-0.37,19.89782608695652,1,15,1.3068,4.62,-0.37,0.750994796449342,206.9373913043478
2025-01-16,13.0,-1.7,0.0,2.5,0.8124,-0.85,9.31608695652174,1,16,1.3351,10.0,-0.85,0.6084937457868325,121.10913043478263
2025-01-17,13.3,-11.3,0.0,2.6,1.0541,-12.11,31.08304347826087,1,17,1.4162,4.71,-12.11,0.7443157746081063,413.4044782608696
2025-01-18,5.4,-21.6,0.0,0.2,1.4414,-21.89,37.48304347826087,1,18,1.5319,3.24,-21.89,0.9409230367517462,202.4084347826087
2025-01-19,6.4,-27.2,0.0,0.0,1.5067,-24.88,36.43826086956522,1,19,1.5713,2.79,-24.88,0.9588875453446191,233.20486956521742
2025-01-20,4.8,-17.3,0.0,0.0,1.0841,-13.64,35.159130434782604,1,20,1.4798,7.08,-13.64,0.7325989998648467,168.7638260869565
2025-01-21,16.5,-3.2,0.0,0.7,1.0536,-3.02,15.107826086956525,1,21,1.4887,11.05,-3.02,0.7077315778867469,249.27913043478267
2025-01-22,8.3,-6.4,0.0,0.3,1.0622,-5.97,17.645217391304346,1,22,1.5463,5.43,-5.97,0.6869300911854104,146.4553043478261
2025-01-23,15.8,-2.7,0.0,0.0,1.1419,-2.64,21.36260869565217,1,23,1.5326,7.74,-2.64,0.7450737309147853,337.5292173913043
2025-01-24,15.4,-6.9,0.0,0.0,1.236,-6.33,18.187826086956523,1,24,1.6154,7.79,-6.33,0.7651355701374273,280.09252173913046
2025-01-25,22.3,-6.2,0.0,0.0,1.4098,-5.61,21.617391304347827,1,25,1.5998,5.39,-5.61,0.8812351543942992,482.06782608695653
2025-01-26,30.6,-1.1,0.0,0.0,1.3442,-2.18,13.982173913043477,1,26,1.5996,7.15,-2.18,0.8403350837709428,427.8545217391304
2025-01-27,21.1,1.8,0.0,0.0,1.3498,-0.08,12.577391304347826,1,27,1.693,8.33,-0.08,0.797282929710573,265.3829565217391
2025-01-28,14.6,2.8,0.0,1.8,1.0961,-0.39,22.85434782608696,1,28,1.7347,5.05,-0.39,0.6318671816452414,333.6734782608696
2025-01-29,0.5,-3.0,0.0,1.9,1.2742,-1.74,20.23391304347826,1,29,1.7213,3.83,-1.74,0.7402544588392493,10.11695652173913
2025-01-30,0.4,-3.5,0.0,10.6,0.9451,-8.47,29.573043478260868,1,30,1.8413,5.45,-8.47,0.513278661815022,11.829217391304347
2025-01-31,0.4,-12.1,0.0,0.4,0.8549,-12.58,34.213478260869564,1,31,1.8449,5.62,-12.58,0.4633855493522684,13.685391304347826
2025-02-01,0.3,-20.7,0.0,1.0,1.5924,-18.98,63.98173913043478,2,32,2.0102,7.06,-18.98,0.7921599840811859,19.194521739130433
2025-02-02,0.1,-26.3,0.0,1.3,1.7232,-25.54,46.61086956521739,2,33,2.0988,5.45,-25.54,0.8210405946255003,4.661086956521739
2025-02-03,0.2,-29.6,0.0,0.3,1.9966,-27.61,382.2686956521739,2,34,2.1545,1.92,-27.61,0.9267115339986075,76.45373913043478
2025-02-04,0.2,-25.7,0.0,0.8,1.8658,-25.73,209.25260869565216,2,35,2.1823,2.08,-25.73,0.8549695275626632,41.850521739130436
2025-02-05,0.2,-22.5,0.0,0.0,1.8156,-22.56,50.01826086956522,2,36,2.2032,2.88,-22.56,0.8240740740740742,10.003652173913045
2025-02-06,0.1,-15.0,0.0,0.2,1.9246,-14.52,42.31173913043478,2,37,2.2181,4.85,-14.52,0.8676795455570082,4.231173913043478
2025-02-07,0.2,-15.9,0.0,0.0,1.9277,-15.94,46.98869565217392,2,38,2.3028,2.02,-15.94,0.8371113427132187,9.397739130434784
2025-02-08,0.2,-17.6,0.0,0.0,2.1926,-14.38,34.35304347826087,2,39,2.323,4.34,-14.38,0.9438656909169179,6.870608695652175
2025-02-09,0.2,-20.0,0.0,0.0,2.1118,-20.81,30.43913043478261,2,40,2.4967,6.66,-20.81,0.8458365041855249,6.087826086956522
2025-02-10,0.3,-24.7,0.0,0.0,2.4341,-21.72,43.94869565217391,2,41,2.5402,4.14,-21.72,0.9582316353043067,13.184608695652173
2025-02-11,0.2,-16.0,0.0,0.7,2.3278,-18.17,167.29478260869564,2,42,2.5709,3.66,-18.17,0.9054416741219028,33.45895652173913
2025-02-12,0.2,-18.3,0.0,0.2,1.9174,-16.95,38.68782608695653,2,43,2.5824,2.58,-16.95,0.7424876084262702,7.737565217391306
2025-02-13,0.2,-17.9,0.0,0.2,2.3412,-20.68,48.32173913043479,2,44,2.6386,3.12,-20.68,0.887288713711817,9.66434782608696
2025-02-14,0.2,-19.3,0.0,0.8,1.7381,-20.95,45.6604347826087,2,45,2.6878,3.96,-20.95,0.6466626981174194,9.13208695652174
2025-02-15,0.2,-25.7,0.0,0.0,2.6138,-20.1,58.74782608695652,2,46,2.7826,1.81,-20.1,0.9393373104290951,11.749565217391305
2025-02-16,0.3,-27.5,0.0,0.0,2.7451,-22.2,44.4195652173913,2,47,2.8658,4.52,-22.2,0.9578826156745062,13.32586956521739
2025-02-17,0.4,-26.6,0.0,0.0,2.9189,-23.67,23.971739130434784,2,48,2.9328,7.11,-23.67,0.995260501909438,9.588695652173914
2025-02-18,0.4,-28.2,0.0,0.0,2.9287,-24.4,44.09782608695652,2,49,3.0314,6.52,-24.4,0.966121264102395,17.63913043478261
2025-02-19,0.5,-22.7,0.0,0.0,2.8692,-19.64,29.61869565217392,2,50,2.9971,6.97,-19.64,0.9573254145674152,14.80934782608696
2025-02-20,0.3,-12.8,0.0,0.0,2.4624,-6.68,29.51521739130435,2,51,2.9582,4.29,-6.68,0.8323980799134609,8.854565217391304
2025-02-21,2.8,1.0,0.0,0.0,2.3028,-0.25,13.731739130434782,2,52,2.9326,4.02,-0.25,0.7852417649867013,38.448869565217386
2025-02-22,23.5,2.3,0.0,0.0,2.7466,1.47,7.345217391304348,2,53,2.9592,4.77,1.47,0.9281562584482292,172.61260869565217
2025-02-23,36.2,3.1,0.0,0.0,2.8606,2.43,1.4456521739130437,2,54,3.1061,7.73,2.43,0.9209619780432052,52.33260869565218
